Original,Clean,Source
LOT NO. 750 IN DEMARCATION DISTRICT NO. 332,LOT750DD332,landsale.csv
LOT NO. 758 IN DEMARCATION DISTRICT NO. 332,LOT758DD332,landsale.csv
LOT NO. 763 IN DEMARCATION DISTRICT NO. 332 LANTAU,LOT763DD332,landsale.csv
LOT NO. 765 IN DEMARCATION DISTRICT NO. 332,LOT765DD332,landsale.csv
LOT NO. 766 IN DEMARCATION DISTRICT NO. 332,LOT766DD332,landsale.csv
LOT NO. 817 IN DD NO. 110,LOT817DD110,landsale.csv
LOT NO. 953 IN DEMARCATION DISTRICT NO. 89,LOT953DD89,landsale.csv
LOT NO. 981 IN DEMARCATION DISTRICT NO. 226,LOT981DD226,landsale.csv
MUN TOWN LOT NO. 518 NEW,TMTL518,landsale.csv
MUN TOWN LOT NO. 549 SAU,TMTL549,landsale.csv
NEW KOWLOON 332 INLAND LOT NO. 6594,NKIL6594,landsale.csv
NEW KOWLOON INLAND LOT NO. 6312,NKIL6312,landsale.csv
NEW KOWLOON INLAND LOT NO. 6313,NKIL6313,landsale.csv
NEW KOWLOON INLAND LOT NO. 6505,NKIL6505,landsale.csv
NEW KOWLOON INLAND LOT NO. 6516,NKIL6516,landsale.csv
NEW KOWLOON INLAND LOT NO. 6517,NKIL6517,landsale.csv
NEW KOWLOON INLAND LOT NO. 6521,NKIL6521,landsale.csv
NEW KOWLOON INLAND LOT NO. 6525,NKIL6525,landsale.csv
NEW KOWLOON INLAND LOT NO. 6526,NKIL6526,landsale.csv
NEW KOWLOON INLAND LOT NO. 6527,NKIL6527,landsale.csv
NEW KOWLOON INLAND LOT NO. 6533,NKIL6533,landsale.csv
NEW KOWLOON INLAND LOT NO. 6534,NKIL6534,landsale.csv
NEW KOWLOON INLAND LOT NO. 6542,NKIL6542,landsale.csv
NEW KOWLOON INLAND LOT NO. 6547,NKIL6547,landsale.csv
NEW KOWLOON INLAND LOT NO. 6549,NKIL6549,landsale.csv
NEW KOWLOON INLAND LOT NO. 6550,NKIL6550,landsale.csv
NEW KOWLOON INLAND LOT NO. 6551,NKIL6551,landsale.csv
NEW KOWLOON INLAND LOT NO. 6556,NKIL6556,landsale.csv
NEW KOWLOON INLAND LOT NO. 6557,NKIL6557,landsale.csv
NEW KOWLOON INLAND LOT NO. 6562,NKIL6562,landsale.csv
NEW KOWLOON INLAND LOT NO. 6563,NKIL6563,landsale.csv
NEW KOWLOON INLAND LOT NO. 6564,NKIL6564,landsale.csv
NEW KOWLOON INLAND LOT NO. 6565,NKIL6565,landsale.csv
NEW KOWLOON INLAND LOT NO. 6566,NKIL6566,landsale.csv
NEW KOWLOON INLAND LOT NO. 6567,NKIL6567,landsale.csv
NEW KOWLOON INLAND LOT NO. 6568,NKIL6568,landsale.csv
NEW KOWLOON INLAND LOT NO. 6570,NKIL6570,landsale.csv
NEW KOWLOON INLAND LOT NO. 6572,NKIL6572,landsale.csv
NEW KOWLOON INLAND LOT NO. 6574,NKIL6574,landsale.csv
NEW KOWLOON INLAND LOT NO. 6575,NKIL6575,landsale.csv
NEW KOWLOON INLAND LOT NO. 6576,NKIL6576,landsale.csv
NEW KOWLOON INLAND LOT NO. 6579,NKIL6579,landsale.csv
NEW KOWLOON INLAND LOT NO. 6582,NKIL6582,landsale.csv
NEW KOWLOON INLAND LOT NO. 6584,NKIL6584,landsale.csv
NEW KOWLOON INLAND LOT NO. 6590,NKIL6590,landsale.csv
NEW KOWLOON INLAND LOT NO. 6591,NKIL6591,landsale.csv
NEW KOWLOON INLAND LOT NO. 6593,NKIL6593,landsale.csv
NEW KOWLOON INLAND LOT NO. 6603,NKIL6603,landsale.csv
NEW KOWLOON INLAND LOT NO. 6604,NKIL6604,landsale.csv
NEW KOWLOON INLAND LOT NO. 6615,NKIL6615,landsale.csv
NEW KOWLOON INLAND LOT NO. 6638,NKIL6638,landsale.csv
NEW KOWLOON INLAND LOT NO. 6639,NKIL6639,landsale.csv
NEW KOWLOON INLAND LOT NO. 6649,NKIL6649,landsale.csv
NEW KOWLOON INLAND LOT NO. 6674,NKIL6674,landsale.csv
NEW KOWLOON INLAND LOT NO. 6675,NKIL6675,landsale.csv
NEW KOWLOON NO. INLAND LOT NO. 6628,NKIL6628,landsale.csv
NKIL 4932,NKIL4932,landsale.csv
NKIL 5853,NKIL5853,landsale.csv
NKIL 5877,NKIL5877,landsale.csv
NKIL 5924,NKIL5924,landsale.csv
NKIL 5927,NKIL5927,landsale.csv
NKIL 5955,NKIL5955,landsale.csv
NKIL 5971,NKIL5971,landsale.csv
NKIL 5972,NKIL5972,landsale.csv
NKIL 5974,NKIL5974,landsale.csv
NKIL 5983,NKIL5983,landsale.csv
NKIL 6012,NKIL6012,landsale.csv
NKIL 6019,NKIL6019,landsale.csv
NKIL 6023,NKIL6023,landsale.csv
NKIL 6032,NKIL6032,landsale.csv
NKIL 6036,NKIL6036,landsale.csv
NKIL 6037,NKIL6037,landsale.csv
NKIL 6040,NKIL6040,landsale.csv
NKIL 6043,NKIL6043,landsale.csv
NKIL 6052,NKIL6052,landsale.csv
NKIL 6056,NKIL6056,landsale.csv
NKIL 6081,NKIL6081,landsale.csv
NKIL 6115,NKIL6115,landsale.csv
NKIL 6144,NKIL6144,landsale.csv
NKIL 6145,NKIL6145,landsale.csv
NKIL 6147,NKIL6147,landsale.csv
NKIL 6152,NKIL6152,landsale.csv
NKIL 6157,NKIL6157,landsale.csv
NKIL 6160,NKIL6160,landsale.csv
NKIL 6161,NKIL6161,landsale.csv
NKIL 6165,NKIL6165,landsale.csv
NKIL 6175,NKIL6175,landsale.csv
NKIL 6181,NKIL6181,landsale.csv
NKIL 6195,NKIL6195,ALS_Concat_Cleaned.csv
NKIL 6196,NKIL6196,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6204,NKIL6204,landsale.csv
NKIL 6208,NKIL6208,landsale.csv
NKIL 6215,NKIL6215,landsale.csv
NKIL 6217,NKIL6217,landsale.csv
NKIL 6233,NKIL6233,landsale.csv
NKIL 6235,NKIL6235,landsale.csv
NKIL 6267,NKIL6267,landsale.csv
NKIL 6268,NKIL6268,landsale.csv
NKIL 6269,NKIL6269,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6270,NKIL6270,landsale.csv
NKIL 6275,NKIL6275,landsale.csv
NKIL 6276,NKIL6276,landsale.csv
NKIL 6277,NKIL6277,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6280,NKIL6280,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6306,NKIL6306,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6308,NKIL6308,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6309,NKIL6309,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6310,NKIL6310,landsale.csv
NKIL 6311,NKIL6311,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6312,NKIL6312,ALS_Concat_Cleaned.csv
NKIL 6313,NKIL6313,ALS_Concat_Cleaned.csv
NKIL 6314,NKIL6314,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6330,NKIL6330,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6338,NKIL6338,landsale.csv
NKIL 6350,NKIL6350,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6374,NKIL6374,landsale.csv
NKIL 6378,NKIL6378,landsale.csv
NKIL 6379,NKIL6379,landsale.csv
NKIL 6409,NKIL6409,landsale.csv
NKIL 6417,NKIL6417,landsale.csv
NKIL 6418,NKIL6418,landsale.csv
NKIL 6423,NKIL6423,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6488,NKIL6488,landsale.csv
NKIL 6493,NKIL6493,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6498,NKIL6498,ALS_Concat_Cleaned.csv & landsale.csv
NKIL 6507,NKIL6507,landsale.csv
NKIL 6516,NKIL6516,ALS_Concat_Cleaned.csv
NKIL 6517,NKIL6517,ALS_Concat_Cleaned.csv
NKIL6374,NKIL6374,ALS_Concat_Cleaned.csv
Pending,TWTL404,ALS_Concat_Cleaned.csv
PO TOWN LOT 1P NO. 250,TPTL250,landsale.csv
PO TOWN LOT MA NO. 243,TPTL243,landsale.csv
PO TOWN LOT NO. 223,TPTL223,landsale.csv
PO TOWN LOT NO. 227,TPTL227,landsale.csv
PO TOWN LOT NO. 228,TPTL228,landsale.csv
PO TOWN LOT NO. 229,TPTL229,landsale.csv
PO TOWN LOT NO. 230,TPTL230,landsale.csv
PO TOWN LOT NO. 231,TPTL231,landsale.csv
PO TOWN LOT TAI NO. 241,TPTL241,landsale.csv
RBL 1066,RBL1066,landsale.csv
RBL 1067,RBL1067,landsale.csv
RBL 1078,RBL1078,landsale.csv
RBL 1088,RBL1088,landsale.csv
RBL 1119,RBL1119,landsale.csv
RBL 1132,RBL1132,landsale.csv
RBL 1133,RBL1133,landsale.csv
RBL 1135,RBL1135,landsale.csv
RBL 1136,RBL1136,landsale.csv
RBL 1138,RBL1138,landsale.csv
RBL 1139,RBL1139,landsale.csv
RBL 1142,RBL1142,landsale.csv
RBL 1143,RBL1143,ALS_Concat_Cleaned.csv & landsale.csv
RBL 1145,RBL1145,landsale.csv
RBL 1146,RBL1146,landsale.csv
RBL 1147,RBL1147,landsale.csv
RBL 1148,RBL1148,landsale.csv
RBL 1154,RBL1154,landsale.csv
RBL 1155,RBL1155,landsale.csv
RBL 1158,RBL1158,landsale.csv
RBL 1159,RBL1159,ALS_Concat_Cleaned.csv & landsale.csv
RBL 1164,RBL1164,landsale.csv
RBL 1165,RBL1165,ALS_Concat_Cleaned.csv & landsale.csv
RBL 1168,RBL1168,ALS_Concat_Cleaned.csv & landsale.csv
RBL 1184,RBL1184,landsale.csv
RBL 1185,RBL1185,landsale.csv
RBL 1190,RBL1190,ALS_Concat_Cleaned.csv & landsale.csv
RBL 1196,RBL1196,landsale.csv
RBL 1197,RBL1197,ALS_Concat_Cleaned.csv
RBL 3,RBL3,landsale.csv
RURAL BUILDING LOT NO. 1198,RBL1198,landsale.csv
RURAL BUILDING LOT NO. 1201,RBL1201,landsale.csv
RURAL BUILDING LOT NO. 1203,RBL1203,landsale.csv
RURAL BUILDING LOT NO. 1204,RBL1204,landsale.csv
RURAL BUILDING LOT NO. 1211,RBL1211,landsale.csv
RURAL BUILDING LOT NO. 1219,RBL1219,landsale.csv
RURAL BUILDING LOT NO. 1220,RBL1220,landsale.csv
RURAL BUILDING LOT NO. 1221,RBL1221,landsale.csv
RURAL BUILDING LOT NO. 1222,RBL1222,landsale.csv
RURAL BUILDING NO. LOT NO. 1209,RBL1209,landsale.csv
SHA TIN TOWN 20 LOT NO. 629,STTL629,landsale.csv
SHA TIN TOWN CHIK LOT NO. 628 TAI NEW,STTL628,landsale.csv
SHA TIN TOWN LOT NO. 482,STTL482,landsale.csv
SHA TIN TOWN LOT NO. 563,STTL563,landsale.csv
SHA TIN TOWN LOT NO. 578,STTL578,landsale.csv
SHA TIN TOWN LOT NO. 579,STTL579,landsale.csv
SHA TIN TOWN LOT NO. 581,STTL581,landsale.csv
SHA TIN TOWN LOT NO. 603,STTL603,landsale.csv
SHA TIN TOWN LOT NO. 605,STTL605,landsale.csv
SHA TIN TOWN LOT NO. 607,STTL607,landsale.csv
SHA TIN TOWN LOT NO. 609,STTL609,landsale.csv
SHA TIN TOWN LOT NO. 610,STTL610,landsale.csv
SHA TIN TOWN LOT NO. 611,STTL611,landsale.csv
SHA TIN TOWN LOT NO. 612,STTL612,landsale.csv
SHA TIN TOWN LOT NO. 613,STTL613,landsale.csv
SHA TIN TOWN LOT NO. 614,STTL614,landsale.csv
SHA TIN TOWN LOT NO. 617,STTL617,landsale.csv
SHA TIN TOWN LOT NO. 622,STTL622,landsale.csv
SHA TIN TOWN LOT NO. 623,STTL623,landsale.csv
SHA TIN TOWN LOT NO. 625,STTL625,landsale.csv
SHA TIN TOWN LOT NO. 643,STTL643,landsale.csv
SHA TIN TOWN LOT NO. 646,STTL646,landsale.csv
SHA TIN TOWN LOT NO. 651,STTL651,landsale.csv
SHAU KEI WAN INLAND LOT NO. 854 KEI,SKWIL854,landsale.csv
SHAU KEI WAN INLAND LOT NO. 860,SKWIL860,landsale.csv
SIL 798,SIL798,landsale.csv
SIL 799,SIL799,landsale.csv
SIL 800,SIL800,landsale.csv
SIL 811,SIL811,landsale.csv
SIL 823,SIL823,landsale.csv
SIL 825,SIL825,landsale.csv
SIL 826,SIL826,landsale.csv
SIL 827,SIL827,landsale.csv
SIL 830,SIL830,landsale.csv
SIL 839,SIL839,landsale.csv
SIL 843,SIL843,landsale.csv
SIL 845,SIL845,landsale.csv
SOIL 95,SOIL95,landsale.csv
SOIL 96,SOIL96,landsale.csv
StIL 115,STIL115,landsale.csv
StIL 74,STIL74,landsale.csv
StIL 83,STIL83,landsale.csv
StIL 91,STIL91,ALS_Concat_Cleaned.csv & landsale.csv
STTL 108,STTL108,landsale.csv
STTL 193,STTL193,landsale.csv
STTL 194,STTL194,landsale.csv
STTL 209,STTL209,landsale.csv
STTL 212,STTL212,landsale.csv
STTL 217,STTL217,landsale.csv
STTL 218,STTL218,landsale.csv
STTL 225,STTL225,landsale.csv
STTL 247,STTL247,landsale.csv
STTL 250,STTL250,landsale.csv
STTL 251,STTL251,landsale.csv
STTL 252,STTL252,landsale.csv
STTL 256,STTL256,landsale.csv
STTL 261,STTL261,landsale.csv
STTL 268,STTL268,landsale.csv
STTL 273,STTL273,landsale.csv
STTL 275,STTL275,landsale.csv
STTL 279,STTL279,landsale.csv
STTL 280,STTL280,landsale.csv
STTL 281,STTL281,landsale.csv
STTL 282,STTL282,landsale.csv
STTL 289,STTL289,landsale.csv
STTL 293,STTL293,landsale.csv
STTL 294,STTL294,landsale.csv
STTL 300,STTL300,landsale.csv
STTL 301,STTL301,landsale.csv
STTL 302,STTL302,landsale.csv
STTL 303,STTL303,landsale.csv
STTL 306,STTL306,landsale.csv
STTL 307,STTL307,landsale.csv
STTL 308,STTL308,landsale.csv
STTL 313,STTL313,landsale.csv
STTL 318,STTL318,landsale.csv
STTL 326,STTL326,landsale.csv
STTL 327,STTL327,landsale.csv
STTL 328,STTL328,landsale.csv
STTL 334,STTL334,landsale.csv
STTL 340,STTL340,landsale.csv
STTL 347,STTL347,landsale.csv
STTL 350,STTL350,landsale.csv
STTL 352,STTL352,landsale.csv
STTL 357,STTL357,landsale.csv
STTL 363,STTL363,landsale.csv
STTL 364,STTL364,landsale.csv
STTL 372,STTL372,landsale.csv
STTL 373,STTL373,landsale.csv
STTL 374,STTL374,landsale.csv
STTL 375,STTL375,landsale.csv
STTL 377,STTL377,landsale.csv
STTL 378,STTL378,landsale.csv
STTL 380,STTL380,landsale.csv
STTL 381,STTL381,landsale.csv
STTL 382,STTL382,landsale.csv
STTL 388,STTL388,landsale.csv
STTL 389,STTL389,landsale.csv
STTL 392,STTL392,landsale.csv
STTL 393,STTL393,landsale.csv
STTL 394,STTL394,landsale.csv
STTL 395,STTL395,landsale.csv
STTL 397,STTL397,landsale.csv
STTL 403,STTL403,landsale.csv
STTL 409,STTL409,landsale.csv
STTL 410,STTL410,landsale.csv
STTL 412,STTL412,ALS_Concat_Cleaned.csv & landsale.csv
STTL 413,STTL413,landsale.csv
STTL 415,STTL415,landsale.csv
STTL 418,STTL418,landsale.csv
STTL 419,STTL419,landsale.csv
STTL 420,STTL420,landsale.csv
STTL 422,STTL422,landsale.csv
STTL 428,STTL428,landsale.csv
STTL 432,STTL432,landsale.csv
STTL 433,STTL433,ALS_Concat_Cleaned.csv & landsale.csv
STTL 435,STTL435,landsale.csv
STTL 446,STTL446,landsale.csv
STTL 449,STTL449,ALS_Concat_Cleaned.csv
STTL 461,STTL461,landsale.csv
STTL 463,STTL463,ALS_Concat_Cleaned.csv & landsale.csv
STTL 468,STTL468,landsale.csv
STTL 481,STTL481,landsale.csv
STTL 482,STTL482,ALS_Concat_Cleaned.csv
STTL 483,STTL483,landsale.csv
STTL 484,STTL484,landsale.csv
STTL 487,STTL487,ALS_Concat_Cleaned.csv & landsale.csv
STTL 499,STTL499,landsale.csv
STTL 507,STTL507,ALS_Concat_Cleaned.csv
STTL 510,STTL510,ALS_Concat_Cleaned.csv & landsale.csv
STTL 525,STTL525,ALS_Concat_Cleaned.csv & landsale.csv
STTL 526,STTL526,ALS_Concat_Cleaned.csv & landsale.csv
STTL 536,STTL536,ALS_Concat_Cleaned.csv
STTL 548,STTL548,ALS_Concat_Cleaned.csv & landsale.csv
STTL 562,STTL562,ALS_Concat_Cleaned.csv & landsale.csv
STTL 563,STTL563,ALS_Concat_Cleaned.csv
STTL 564,STTL564,ALS_Concat_Cleaned.csv
STTL 565,STTL565,ALS_Concat_Cleaned.csv & landsale.csv
STTL 566,STTL566,ALS_Concat_Cleaned.csv & landsale.csv
STTL 567,STTL567,ALS_Concat_Cleaned.csv & landsale.csv
STTL 574,STTL574,ALS_Concat_Cleaned.csv & landsale.csv
STTL 578,STTL578,ALS_Concat_Cleaned.csv
STTL 579,STTL579,ALS_Concat_Cleaned.csv
STTL 581,STTL581,ALS_Concat_Cleaned.csv
STTL 98,STTL98,landsale.csv
"TAI PO TOWN AT LOT NO. 225 OF PO,",TPTL225,landsale.csv
"TAI PO TOWN FO LOT NO. 213 PO,",TPTL213,landsale.csv
TAI PO TOWN FO LOT NO. 214,TPTL214,landsale.csv
TAI PO TOWN LOT NO. 213,TPTL213,landsale.csv
TAI PO TOWN LOT NO. 221,TPTL221,landsale.csv
TAI PO TOWN LOT NO. 226,TPTL226,landsale.csv
TAI PO TOWN LOT NO. 234,TPTL234,landsale.csv
TAI PO TOWN LOT NO. 244,TPTL244,landsale.csv
TAI PO TOWN LOT NO. 264,TPTL264,landsale.csv
TCTL 11,TCTL11,ALS_Concat_Cleaned.csv & landsale.csv
TCTL 22,TCTL22,ALS_Concat_Cleaned.csv
TCTL 24,TCTL24,landsale.csv
TCTL 25,TCTL25,landsale.csv
TCTL 29,TCTL29,landsale.csv
TCTL 36,TCTL36,landsale.csv
TCTL 37,TCTL37,ALS_Concat_Cleaned.csv & landsale.csv
TCTL 9,TCTL9,landsale.csv
TIN SHUI WAI TOWN LOT NO. 33,TSWTL33,landsale.csv
TIN SHUI WAI TOWN LOT NO. 34,TSWTL34,landsale.csv
TIN TOWN 1 LOT NO. 589 TAI,STTL589,landsale.csv
TIN TOWN LOT NO. 598,STTL598,landsale.csv
TIN TOWN MA LOT NO. 599 MA,STTL599,landsale.csv
TIN TOWN MEI LOT NO. 604,STTL604,landsale.csv
TIN TOWN TAI LOT NO. 587,STTL587,landsale.csv
TIN TOWN YIU LOT NO. 601,STTL601,landsale.csv
TKOTL 112,TKOTL112,ALS_Concat_Cleaned.csv
TKOTL 113,TKOTL113,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 114,TKOTL114,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 115,TKOTL115,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 117,TKOTL117,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 118,TKOTL118,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 119,TKOTL119,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 124,TKOTL124,ALS_Concat_Cleaned.csv
TKOTL 125,TKOTL125,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 126,TKOTL126,ALS_Concat_Cleaned.csv
TKOTL 17,TKOTL17,landsale.csv
TKOTL 18,TKOTL18,landsale.csv
TKOTL 19,TKOTL19,landsale.csv
TKOTL 23,TKOTL23,landsale.csv
TKOTL 27,TKOTL27,landsale.csv
TKOTL 31,TKOTL31,landsale.csv
TKOTL 34,TKOTL34,landsale.csv
TKOTL 36,TKOTL36,landsale.csv
TKOTL 40,TKOTL40,landsale.csv
TKOTL 44,TKOTL44,landsale.csv
TKOTL 49,TKOTL49,landsale.csv
TKOTL 50,TKOTL50,landsale.csv
TKOTL 61,TKOTL61,ALS_Concat_Cleaned.csv
TKOTL 62,TKOTL62,landsale.csv
TKOTL 67,TKOTL67,landsale.csv
TKOTL 76,TKOTL76,ALS_Concat_Cleaned.csv & landsale.csv
TKOTL 77,TKOTL77,ALS_Concat_Cleaned.csv
TKOTL 81,TKOTL81,landsale.csv
TKOTL 86,TKOTL86,ALS_Concat_Cleaned.csv
TKOTL 87,TKOTL87,ALS_Concat_Cleaned.csv
TKOTL 89,TKOTL89,landsale.csv
TKOTL 93,TKOTL93,ALS_Concat_Cleaned.csv
TKOTL 95,TKOTL95,ALS_Concat_Cleaned.csv & landsale.csv
TLTL 68,TLTL68,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 235,TMTL235,landsale.csv
TMTL 242,TMTL242,landsale.csv
TMTL 246,TMTL246,landsale.csv
TMTL 247,TMTL247,landsale.csv
TMTL 263,TMTL263,landsale.csv
TMTL 277,TMTL277,landsale.csv
TMTL 281,TMTL281,landsale.csv
TMTL 288,TMTL288,landsale.csv
TMTL 292,TMTL292,landsale.csv
TMTL 296,TMTL296,landsale.csv
TMTL 297,TMTL297,landsale.csv
TMTL 300,TMTL300,landsale.csv
TMTL 302,TMTL302,landsale.csv
TMTL 313,TMTL313,landsale.csv
TMTL 316,TMTL316,landsale.csv
TMTL 318,TMTL318,landsale.csv
TMTL 319,TMTL319,landsale.csv
TMTL 320,TMTL320,landsale.csv
TMTL 321,TMTL321,landsale.csv
TMTL 322,TMTL322,landsale.csv
TMTL 323,TMTL323,landsale.csv
TMTL 333,TMTL333,landsale.csv
TMTL 338,TMTL338,landsale.csv
TMTL 345,TMTL345,landsale.csv
TMTL 346,TMTL346,landsale.csv
TMTL 347,TMTL347,landsale.csv
TMTL 353,TMTL353,landsale.csv
TMTL 355,TMTL355,landsale.csv
TMTL 360,TMTL360,landsale.csv
TMTL 368,TMTL368,landsale.csv
TMTL 370,TMTL370,landsale.csv
TMTL 371,TMTL371,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 379,TMTL379,landsale.csv
TMTL 380,TMTL380,landsale.csv
TMTL 388,TMTL388,landsale.csv
TMTL 389,TMTL389,landsale.csv
TMTL 390,TMTL390,landsale.csv
TMTL 391,TMTL391,landsale.csv
TMTL 393,TMTL393,landsale.csv
TMTL 395,TMTL395,landsale.csv
TMTL 397,TMTL397,landsale.csv
TMTL 398,TMTL398,landsale.csv
TMTL 402,TMTL402,landsale.csv
TMTL 405,TMTL405,landsale.csv
TMTL 407,TMTL407,landsale.csv
TMTL 408,TMTL408,landsale.csv
TMTL 409,TMTL409,landsale.csv
TMTL 416,TMTL416,landsale.csv
TMTL 419,TMTL419,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 422,TMTL422,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 423,TMTL423,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 425,TMTL425,landsale.csv
TMTL 427,TMTL427,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 430,TMTL430,ALS_Concat_Cleaned.csv
TMTL 432,TMTL432,landsale.csv
TMTL 434,TMTL434,ALS_Concat_Cleaned.csv
TMTL 435,TMTL435,ALS_Concat_Cleaned.csv
TMTL 436,TMTL436,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 449,TMTL449,ALS_Concat_Cleaned.csv & landsale.csv
TMTL 486,TMTL486,landsale.csv
TMTL 490,TMTL490,ALS_Concat_Cleaned.csv
TMTL 495,TMTL495,ALS_Concat_Cleaned.csv
TMTL 497,TMTL497,ALS_Concat_Cleaned.csv
TMTL 498,TMTL498,ALS_Concat_Cleaned.csv
TPTL 102,TPTL102,landsale.csv
TPTL 103,TPTL103,landsale.csv
TPTL 110,TPTL110,landsale.csv
TPTL 111,TPTL111,landsale.csv
TPTL 112,TPTL112,landsale.csv
TPTL 113,TPTL113,landsale.csv
TPTL 115,TPTL115,landsale.csv
TPTL 116,TPTL116,landsale.csv
TPTL 117,TPTL117,landsale.csv
TPTL 118,TPTL118,landsale.csv
TPTL 119,TPTL119,landsale.csv
TPTL 123,TPTL123,landsale.csv
TPTL 124,TPTL124,landsale.csv
TPTL 126,TPTL126,landsale.csv
TPTL 136,TPTL136,landsale.csv
TPTL 137,TPTL137,landsale.csv
TPTL 138,TPTL138,landsale.csv
TPTL 139,TPTL139,landsale.csv
TPTL 141,TPTL141,landsale.csv
TPTL 151,TPTL151,landsale.csv
TPTL 161,TPTL161,landsale.csv
TPTL 165,TPTL165,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 166,TPTL166,ALS_Concat_Cleaned.csv
TPTL 167,TPTL167,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 168,TPTL168,landsale.csv
TPTL 186,TPTL186,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 187,TPTL187,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 188,TPTL188,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 193,TPTL193,landsale.csv
TPTL 195,TPTL195,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 200,TPTL200,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 201,TPTL201,ALS_Concat_Cleaned.csv & landsale.csv
TPTL 203,TPTL203,landsale.csv
TPTL 205,TPTL205,landsale.csv
TPTL 207,TPTL207,landsale.csv
TPTL 208,TPTL208,ALS_Concat_Cleaned.csv
TPTL 211,TPTL211,ALS_Concat_Cleaned.csv
TPTL 25,TPTL25,landsale.csv
TPTL 49,TPTL49,landsale.csv
TPTL 51,TPTL51,landsale.csv
TPTL 59,TPTL59,landsale.csv
TPTL 64,TPTL64,landsale.csv
TPTL 65,TPTL65,landsale.csv
TPTL 66,TPTL66,landsale.csv
TPTL 68,TPTL68,landsale.csv
TPTL 71,TPTL71,landsale.csv
TPTL 74,TPTL74,landsale.csv
TPTL 80,TPTL80,landsale.csv
TPTL 81,TPTL81,landsale.csv
TPTL 85,TPTL85,landsale.csv
TPTL 97,TPTL97,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 112,TKOTL112,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 122,TKOTL122,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 126,TKOTL126,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 131,TKOTL131,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 137,TKOTL137,landsale.csv
TSEUNG KWAN O TOWN LOT NO. 93,TKOTL93,landsale.csv
TSING LUNG TAU TOWN LOT NO. 70,TLTL70,landsale.csv
TSING YI TOWN LOT NO. 185,TYTL185,landsale.csv
TSING YI TOWN LOT NO. 190,TYTL190,landsale.csv
TSING YI TOWN LOT NO. 192,TYTL192,landsale.csv
TSING YI TOWN LOT NO. 202,TYTL202,landsale.csv
TSING YI TOWN LOT NO. 203,TYTL203,landsale.csv
TSUEN WAN TOWN LOT NO. 393,TWTL393,landsale.csv
TSUEN WAN TOWN LOT NO. 427,TWTL427,landsale.csv
TSUEN WAN TOWN LOT NO. 428,TWTL428,landsale.csv
TSUEN WAN TOWN LOT NO. 430,TWTL430,landsale.csv
TSUEN WAN TOWN LOT NO. 441,TWTL441,landsale.csv
TSWTL 26,TSWTL26,ALS_Concat_Cleaned.csv & landsale.csv
TSWTL 27,TSWTL27,landsale.csv
TSWTL 28,TSWTL28,landsale.csv
TUEN MUN TOWN LOT NO. 430,TMTL430,landsale.csv
TUEN MUN TOWN LOT NO. 434,TMTL434,landsale.csv
TUEN MUN TOWN LOT NO. 435,TMTL435,landsale.csv
TUEN MUN TOWN LOT NO. 490,TMTL490,landsale.csv
TUEN MUN TOWN LOT NO. 495,TMTL495,landsale.csv
TUEN MUN TOWN LOT NO. 497,TMTL497,landsale.csv
TUEN MUN TOWN LOT NO. 498,TMTL498,landsale.csv
TUEN MUN TOWN LOT NO. 499,TMTL499,landsale.csv
